Model,Accuracy,Precision,Recall,F1,ROC_AUC
Gradient Boosting,0.8862215260100516,0.6282051282051282,0.0495728417266187,0.09189414461346114,0.7571312327731635
Logistic Regression,0.6773187128777495,0.2198774917678717,0.69806654676259,0.33441934354721453,0.7529734090188748
Ridge-penalised Logistic (L2),0.6773187128777495,0.2198774917678717,0.69806654676259,0.33441934354721453,0.7529734090188748
Lasso-penalised Logistic (L1),0.6772142810521506,0.21981522777954762,0.69806654676259,0.3343473227986109,0.7529724245238643
Random Forest,0.7829253965145878,0.2735047741784313,0.5248426258992805,0.3596102745792737,0.7510497439529361
Decision Tree,0.6557404869133868,0.2038166903938716,0.6759217625899281,0.3131933954893484,0.7230105457644548
